dialogID,ppl,position,type,model
27,2.47707991278623,5,compressed,LSTM
27,3.48069366403509,6,compressed,LSTM
27,3.23259508290175,7,compressed,LSTM
27,2.40204978099505,8,compressed,LSTM
27,3.01219988180143,9,compressed,LSTM
27,3.13451859791851,10,compressed,LSTM
27,2.64568485062945,11,compressed,LSTM
27,2.87928524822662,12,compressed,LSTM
27,2.91138949503564,13,compressed,LSTM
27,2.59511307476692,14,compressed,LSTM
27,4.43936530716346,15,compressed,LSTM
28,3.69474781957475,0,compressed,LSTM
28,4.29694463280065,1,compressed,LSTM
28,3.77178552679988,2,compressed,LSTM
28,3.63748861230148,3,compressed,LSTM
28,3.54164340957703,4,compressed,LSTM
28,4.43587439998273,5,compressed,LSTM
28,2.99106696704722,6,compressed,LSTM
28,4.5448731604831,7,compressed,LSTM
28,5.83104778251089,8,compressed,LSTM
28,6.16350639101877,9,compressed,LSTM
28,4.6471956085018,10,compressed,LSTM
28,5.21548181546623,11,compressed,LSTM
28,11.1715686765328,12,compressed,LSTM
28,12.1739198936901,13,compressed,LSTM
28,4.21386032139821,14,compressed,LSTM
28,12.5518806896722,15,compressed,LSTM
28,5.59916582145084,16,compressed,LSTM
28,7.09811552954997,17,compressed,LSTM
28,6.83126088189581,18,compressed,LSTM
28,7.4819618790647,19,compressed,LSTM
28,3.88390591252449,20,compressed,LSTM
28,3.66257653506478,21,compressed,LSTM
28,4.33080034971363,22,compressed,LSTM
28,6.86712828459896,23,compressed,LSTM
29,3.77252839179925,0,compressed,LSTM
29,4.21617368945712,1,compressed,LSTM
29,3.76582362867361,2,compressed,LSTM
29,3.83944419691845,3,compressed,LSTM
29,3.6188663965913,4,compressed,LSTM
29,4.32660096845743,5,compressed,LSTM
29,5.16003646552634,6,compressed,LSTM
29,5.47167074293804,7,compressed,LSTM
30,4.15464951501726,0,compressed,LSTM
30,4.78168726018477,1,compressed,LSTM
30,3.45737046162474,2,compressed,LSTM
30,6.19776405087183,3,compressed,LSTM
30,5.01351346651853,4,compressed,LSTM
30,4.15141218799437,5,compressed,LSTM
30,5.81828486060302,6,compressed,LSTM
30,3.69042118887039,7,compressed,LSTM
30,4.15130133480937,8,compressed,LSTM
30,3.17498037646003,9,compressed,LSTM
30,4.88580173607941,10,compressed,LSTM
30,3.47655760141619,11,compressed,LSTM
30,3.52245438554232,12,compressed,LSTM
30,6.15397968125931,13,compressed,LSTM
30,4.0432288205397,14,compressed,LSTM
30,5.25670128740897,15,compressed,LSTM
30,4.69917912103758,16,compressed,LSTM
30,3.43160817818174,17,compressed,LSTM
30,3.96771750766156,18,compressed,LSTM
30,4.40528630209014,19,compressed,LSTM
30,3.54792239118455,20,compressed,LSTM
30,4.16787399561853,21,compressed,LSTM
30,4.44710332444997,22,compressed,LSTM
30,4.34530186365395,23,compressed,LSTM
30,3.44071079585877,24,compressed,LSTM
30,4.66419308133996,25,compressed,LSTM
30,5.58947517303593,26,compressed,LSTM
31,4.62218077491276,0,compressed,LSTM
31,4.97669794213669,1,compressed,LSTM
31,6.97381980480961,2,compressed,LSTM
32,8.64035848023675,0,compressed,LSTM
